Page,JPEG number,Number,Letter,Date of the Certificate Month,Day,Year,raw_first_name_1,raw_last_name_1,raw_name,Title,Time when the debt became due Month,Day2,Year2,Amount Dollars,90th,Total Dollars,Column,Line Strike Thorugh? Yes?,Note,Notes
,243,443,I,6,7,1787,WILLIAM,PARKER,WILLIAM PARKER,,1,5,1782,581,,,,1,"Lo 59,26",
,243,444,L,6,7,1787,JACK,HIGGINS,JACK HIGGINS,,8,20,1780,59,22,,,1,"Lo 38,297",
,243,445,A,6,11,1787,GEORGE,GILCHRIST,GEORGE GILCHRIST,,4,14,1781,14,73,,,1,"Lo 137,1293",
,243,446,B,6,11,1787,JAMES,ROLLEY,JAMES ROLLEY,,4,14,1781,13,43,,,1,3712,
,243,447,C,6,11,1787,BENJAMIN,YEATON,BENJAMIN YEATON,,4,26,1781,133,76,,,1,"Lo 97,1032",Intarest Billed 6 th Apriel
,243,448,H,6,11,1787,SAMUEL,BALL,SAMUEL BALL,,12,12,1780,149,73,,,1,"Lo 164,192",
,243,449,I,6,11,1787,JOHN,DURAND,JOHN DURAND,,9,6,1780,28,43,,,1,407,
,243,450,L,6,13,1787,WILLIAM,MORRIS,WILLIAM MORRIS,,8,31,1779,175,,Reg 5420 not marked when cancelled,,1,RO,
,243,451,A,6,13,1787,WILLIAM,MORRIS,,,10,1,1781,230,,Reg 5420 not marked when cancelled,,1,RO,
,243,452,B,6,13,1787,WILLIAM,MORRIS,,,7,3,1782,66,4,Reg 5420 not formerly chaeked off when cancelled,,1,RO,
,244,453,C,6,13,1787,JAMES,ELDERKIN,JAMES ELDERKIN,,8,20,1779,2,23,,,1,2884,
,244,454,H,6,13,1787,LEVI,CULVER,LEVI CULVER,,4,16,1781,5,13,,,1,1223,
,244,455,I,6,14,1787,JOHN,BRIANT,JOHN BRIANT,,4,14,1781,17,7,,,1,312,
,244,456,L,6,14,1787,PAUL,GILES,PAUL GILES,,5,19,1780,15,62,Reg 6047,,1,RO,
,244,457,A,6,18,1787,JAMES,BREHON,JAMES BREHON,,3,7,1779,589,18,,,1,2484,
,244,458,B,6,20,1787,CHACE ROGERS,,CHACE ROGERS,,4,7,1780,67,45,,,1,N 42,
,244,459,C,6,20,1787,JOSEPH,EDWARDS,JOSEPH EDWARDS,,5,17,1780,30,59,Reg 6238,,1,RO,
,244,460,H,6,20,1787,HENRY,NEWELL,HENRY NEWELL,,5,18,1786,42,11,,,1,"Lo 150,1706",
,244,461,I,6,20,1787,HENRY,EDWARDS,HENRY EDWARDS,,9,6,1780,43,78,Reg 6238 interest not specified in rec,,1,RO,
,244,462,L,6,20,1787,JAMES,HAYES,JAMES HAYES,,5,25,1780,60,56,,,1,291,
,244,463,A,6,20,1787,CUTTING,LUNT,CUTTING LUNT,,3,16,1780,219,82,,,1,1047,
,245,464,B,6,20,1787,WILLIAM,HALE,WILLIAM HALE,,5,18,1780,21,68,,,1,"Lo 137,1336",
,245,465,C,6,20,1787,JACOB,NOYES,JACOB NOYES,,12,17,1781,193,6,111611,44,1,"Lo 137,1336",
