row_id,Name,Fn_Fix,Ln_Fix,new_town,county,new_state,country,geo_level,Name_Fix
182,Asa Stephens | Asa Stevens,Asa,Stephens,,,VT,US,state,Asa Stephens | Asa Stevens
183,Asa Stephens | Asa Stevens,Asa,Stevens,,,VT,US,state,Asa Stephens | Asa Stevens
184,Hezekiah Brainard,Hezekiah,Brainard,Haddam,Middlesex County,CT,US,town,Hezekiah Brainard
185,John Phelps,John,Phelps,Stafford,Tolland County,CT,US,town,John Phelps
186,Charles Sheldon,Charles,Sheldon,Springfield,Hampshire County,MA,US,town,Charles Sheldon
187,John Robbins,John,Robbins,Wethersfield,Hartford County,CT,US,town,John Robbins
188,Elias Williams,Elias,Williams,Wethersfield,Hartford County,CT,US,town,Elias Williams
189,Elial Williams,Elial,Williams,Wethersfield,Hartford County,CT,US,town,Elial Williams
190,Elias Williams,Elias,Williams,Wethersfield,Hartford County,CT,US,town,Elias Williams
191,William Joseph and Richard Hart,Richard,Hart,Hartford,Hartford County,CT,US,town,Richard Hart | William Joseph
192,William Joseph and Richard Hart,William,Joseph,Hartford,Hartford County,CT,US,town,Richard Hart | William Joseph
193,Daniel Edgerton,Daniel,Edgerton,Tolland,Tolland County,CT,US,town,Daniel Edgerton
194,Thomas Starr,Thomas,Starr,Danbury,Fairfield County,CT,US,town,Thomas Starr
195,Ephraim Starr,Ephraim,Starr,Goshen,Litchfield County,CT,US,town,Ephraim Starr
196,William Morris,William,Morris,Woodstock,Windham County,CT,US,town,William Morris
197,Benjamin Case,Benjamin,Case,Coventry,Tolland County,CT,US,town,Benjamin Case
198,John Coburn,John,Coburn,Boston,Suffolk County,MA,US,town,John Coburn
199,Andrew Eliot | Andrew Elliot,andrew,Eliot,Fairfield,Fairfield County,CT,US,town,andrew Eliot | andrew Elliot
200,Andrew Eliot | Andrew Elliot,andrew,Elliot,Fairfield,Fairfield County,CT,US,town,andrew Eliot | andrew Elliot
201,Eliphalet Hull,Eliphalet,Hull,Fairfield,Fairfield County,CT,US,town,Eliphalet Hull
202,Isaac Jennings,Isaac,Jennings,Fairfield,Fairfield County,CT,US,town,Isaac Jennings
203,Martin Kellogg,Martin,Kellogg,Newington,Hartford County,CT,US,town,Martin Kellogg
204,Jonathan Sturges,Jonathan,Sturges,Fairfield,Fairfield County,CT,US,town,Jonathan Sturges
205,Josiah Hale,Josiah,Hale,Glastonbury,Hartford County,CT,US,town,Josiah Hale
206,Ichabod Warner,Ichabod,Warner,Bolton,Tolland County,CT,US,town,Ichabod Warner
207,Seth Bird,Seth,Bird,Litchfield,Litchfield County,CT,US,town,Seth Bird
208,James Hooker,James,Hooker,Windsor,Hartford County,CT,US,town,James Hooker
209,Jabez Clark,Jabez,Clark,Windham,Windham County,CT,US,town,Jabez Clark
210,Samuel Gray,Samuel,Gray,Windham,Windham County,CT,US,town,Samuel Gray
211,Samuel Kellogg,Samuel,Kellogg,Colchester,New London County,CT,US,town,Samuel Kellogg
212,Samuel Richards,Samuel,Richards,Farmington,Hartford County,CT,US,town,Samuel Richards
213,Joseph Strong,Joseph,Strong,Norwich,New London County,CT,US,town,Joseph Strong
214,Samuel Wales,Samuel,Wales,New Haven,New Haven County,CT,US,town,Samuel Wales
215,Seth Smith,Seth,Smith,East Lyme,New London County,CT,US,town,Seth Smith
216,Camp Adams,Camp,Adams,Wethersfield,Hartford County,CT,US,town,Camp Adams
217,David Austin,David,Austin,New Haven,New Haven County,CT,US,town,David Austin
218,Daniel Brown,Daniel,Brown,Hebron,Tolland County,CT,US,town,Daniel Brown
219,Adonijah Bidwell,Adonijah,Bidwell,Tyringham,Berkshire County,MA,US,town,Adonijah Bidwell
220,Samuel Foster,Samuel,Foster,Wethersfield,Hartford County,CT,US,town,Samuel Foster
221,Juliana Buckingham,Juliana,Buckingham,Milford,New Haven County,CT,US,town,Juliana Buckingham
222,Jonathan Bull | Jonathan Bull Treasurer and Co,Jonathan,Bull,Hartford,Hartford County,CT,US,town,Jonathan Bull
223,Charles Wadsworth,Charles,Wadsworth,Hartford,Hartford County,CT,US,town,Charles Wadsworth
224,Gideon Buckingham,Gideon,Buckingham,Milford,New Haven County,CT,US,town,Gideon Buckingham
225,Joshua Grosvenor,Joshua,Grosvenor,Pomfret,Windham County,CT,US,town,Joshua Grosvenor
226,Elisha Hale,Elisha,Hale,Glastonbury,Hartford County,CT,US,town,Elisha Hale
227,John Williams,John,Williams,Wethersfield,Hartford County,CT,US,town,John Williams
228,Thomas Grosvenor,Thomas,Grosvenor,Pomfret,Windham County,CT,US,town,Thomas Grosvenor
229,Esther Philips | Esther Phillips,Esther,Philips,Middletown,Middlesex County,CT,US,town,Esther Philips | Esther Phillips
230,Esther Philips | Esther Phillips,Esther,Phillips,Middletown,Middlesex County,CT,US,town,Esther Philips | Esther Phillips
231,Hope Warner,Hope,Warner,Middletown,Middlesex County,CT,US,town,Hope Warner
232,Joseph Munson,Joseph,Munson,New Haven,New Haven County,CT,US,town,Joseph Munson
233,Joseph Buckley | Joseph Bulkley,Joseph,Buckley,Wethersfield,Hartford County,CT,US,town,Joseph Buckley | Joseph Bulkley
234,Joseph Buckley | Joseph Bulkley,Joseph,Bulkley,Wethersfield,Hartford County,CT,US,town,Joseph Buckley | Joseph Bulkley
235,Simeon Jocelin,Simeon,Jocelin,New Haven,New Haven County,CT,US,town,Simeon Jocelin
236,Asiel Meraman,Asiel,Meraman,Wethersfield,Hartford County,CT,US,town,Asiel Meraman
237,Elisha Miller,Elisha,Miller,Farmington,Hartford County,CT,US,town,Elisha Miller
238,Gurdon Saltonstall | Gurdon Sattonstall,Gurdon,Saltonstall,New London,New London County,CT,US,town,Gurdon Saltonstall | Gurdon Sattonstall
239,Gurdon Saltonstall | Gurdon Sattonstall,Gurdon,Sattonstall,New London,New London County,CT,US,town,Gurdon Saltonstall | Gurdon Sattonstall
240,Abraham Pierson,Abraham,Pierson,Killingworth,Middlesex County,CT,US,town,Abraham Pierson
241,Elijah White,Elijah,White,Bolton,Tolland County,CT,US,town,Elijah White
242,Martin Lord,Martin,Lord,Killingworth,Middlesex County,CT,US,town,Martin Lord
243,Lemuel Sanders | Lemuel Saunders,Lemuel,Sanders,Sturbridge,Worcester County,MA,US,town,Lemuel Sanders | Lemuel Saunders
244,Lemuel Sanders | Lemuel Saunders,Lemuel,Saunders,Sturbridge,Worcester County,MA,US,town,Lemuel Sanders | Lemuel Saunders
245,Ebenezer Gay,Ebenezer,Gay,Suffield,Hartford County,CT,US,town,Ebenezer Gay
246,Nathaniel Townsend,Nathaniel,Townsend,Norwich,New London County,CT,US,town,Nathaniel Townsend
247,Thaddeus Leavitt,Thaddeus,Leavitt,Suffield,Hartford County,CT,US,town,Thaddeus Leavitt
248,Joshua Belden,Joshua,Belden,Wethersfield,Hartford County,CT,US,town,Joshua Belden
249,Samuel Hooker,Samuel,Hooker,Berlin,Hartford County,CT,US,town,Samuel Hooker
250,Samuel Abby,Samuel,Abby,East Hampton,Middlesex County,CT,US,town,Samuel Abby
