,6p_Dollar,6p_Cents,6p_def_Dollar,6p_def_Cents,3p_Dollar,3p_Cents,town,state,occupation,Name,county,geo_level,6p_total
97,9.0,25.0,4.0,63.0,,,Hartford,CT,,"['Aaron Cadwell II', 'Aaron Caldwell II']",Hartford County,town,9.25
98,356.0,50.0,178.0,26.0,307.0,98.0,Coventry,CT,,['John Hale'],Tolland County,town,356.5
99,625.0,33.0,312.0,67.0,467.0,35.0,Hartford,CT,,['Samuel Talcott'],Hartford County,town,625.33
100,2697.0,98.0,1348.0,99.0,1008.0,,New Haven,CT,Treasurer of Yale College,['James Hillhouse'],New Haven County,town,2697.98
101,1808.0,17.0,904.0,9.0,792.0,55.0,New Haven,CT,,['James Hillhouse'],New Haven County,town,1808.17
102,152.0,54.0,76.0,27.0,54.0,91.0,New Haven,CT,,['Mary Hillhouse'],New Haven County,town,152.54
103,248.0,46.0,124.0,23.0,144.0,,State of New York,NY,,['Stephen Potter'],,state,248.46
104,1600.0,,800.0,,576.0,,Hebron,CT,,['Rebecca Woolsey'],Tolland County,town,
105,666.0,66.0,333.0,34.0,240.0,,New Haven,CT,,"['Theodocia Woolsey', 'Theodosia Woolsey']",New Haven County,town,666.66
106,1100.0,62.0,550.0,32.0,302.0,8.0,Groton,CT,,['Simeon Avery'],New London County,town,1100.62
107,1838.0,64.0,919.0,33.0,661.0,91.0,New London,CT,,['Lucy Chen'],New London County,town,1838.64
108,137.0,14.0,68.0,57.0,146.0,61.0,Hebron,CT,,['William Talcott'],Tolland County,town,137.14
109,266.0,66.0,133.0,34.0,84.0,,Farmington,CT,,"['William Fowler Miller', 'Willam F Miller']",Hartford County,town,266.66
110,27.0,45.0,13.0,73.0,,,Mansfield,CT,,['Elijah Gridley'],Tolland County,town,27.45
111,572.0,58.0,286.0,29.0,526.0,63.0,Preston,CT,,['William Belcher'],New London County,town,572.58
112,323.0,87.0,161.0,93.0,120.0,67.0,Glastonbury,CT,,"['Philip Sellew', 'Philip Sellow']",Hartford County,town,323.87
113,179.0,48.0,89.0,74.0,144.0,,Hartford,CT,,['Eunice and Betsey Wadsworth'],Hartford County,town,179.48
114,81.0,51.0,40.0,76.0,79.0,2.0,Wethersfield,CT,,['Joshua Belden and James Wells'],Hartford County,town,81.51
115,8215.0,91.0,4107.0,95.0,6612.0,40.0,Saybrook,CT,,['William Hart'],Middlesex County,town,8215.91
116,136.0,19.0,68.0,9.0,144.0,14.0,Bolton,CT,,['Saul Alvord'],Tolland County,town,136.19
117,10.0,39.0,5.0,20.0,10.0,87.0,Norwich,CT,,['Lemuel Bruswell'],New London County,town,10.39
118,1447.0,26.0,723.0,64.0,1041.0,99.0,Preston,CT,Treasurer of Preston Society,"['Wheeler Coit Treasurer of Preston Society Coit Treasurer of Preston Society', 'Wheeler Coit Treasurer Preston Co', 'Wheeler Coit']",New London County,town,1447.26
119,238.0,76.0,119.0,38.0,64.0,45.0,Bozrah,CT,,"['Benjamin Troop', 'Benjamin Throop']",New London County,town,238.76
120,1573.0,33.0,786.0,67.0,1100.0,93.0,Derby,CT,,['John Humphrey'],New Haven County,town,1573.33
121,2947.0,55.0,1473.0,77.0,1888.0,81.0,Derby,CT,,['John Humphrey'],New Haven County,town,2947.55
122,279.0,53.0,139.0,76.0,226.0,23.0,Lebanon,CT,,['Jeremiah Mason'],New London County,town,279.53
123,738.0,43.0,369.0,22.0,708.0,13.0,State of New York,NY,,['Edmund Wells'],,state,738.43
124,263.0,16.0,131.0,58.0,161.0,4.0,Norwich,CT,,"['Simeon Huntington', 'Simon Huntington']",New London County,town,263.16
125,666.0,67.0,333.0,33.0,180.0,,Norwich,CT,,['James Hyde'],New London County,town,666.67
126,424.0,81.0,212.0,41.0,305.0,86.0,Norwich,CT,,['Mehitabel Waterman'],New London County,town,424.81
127,62.0,13.0,31.0,6.0,16.0,76.0,Wethersfield,CT,,['Abigail Robbins'],Hartford County,town,62.13
128,186.0,11.0,93.0,5.0,50.0,24.0,Wethersfield,CT,,['Elijah Robbins'],Hartford County,town,186.11
129,38.0,63.0,19.0,31.0,,,Wethersfield,CT,,['Oliver Goodrich'],Hartford County,town,38.63
130,200.0,,100.0,,221.0,50.0,Windsor,CT,,['Josiah Allyn'],Hartford County,town,
131,37.0,84.0,18.0,93.0,27.0,24.0,Huntington,CT,,['Daniel Bennett'],Fairfield County,town,37.84
132,192.0,83.0,96.0,42.0,120.0,,Woodstock,CT,,['Jesse Bolles'],Windham County,town,192.83
133,266.0,66.0,133.0,34.0,192.0,,Middletown,CT,,['Samuel Frary'],Middlesex County,town,266.66
134,954.0,82.0,477.0,42.0,907.0,88.0,Windham,CT,,['Joseph Badcock'],Windham County,town,954.82
135,596.0,93.0,298.0,47.0,161.0,16.0,Woodstock,CT,,['Elias Mason'],Windham County,town,596.93
136,102.0,64.0,51.0,32.0,73.0,90.0,Sharon,CT,,['Abel Patchen'],Litchfield County,town,102.64
137,1089.0,73.0,544.0,47.0,288.0,,New Haven,CT,,['Jeremiah Platt'],New Haven County,town,1089.73
