,0
"Littleton, Grafton, New Hampshire, USA ",19
"Lyman, Grafton, New Hampshire, USA ",43
"Lyme, Grafton, New Hampshire, USA ",175
"New Chester, Grafton, New Hampshire, USA ",NR
"New Holderness, Grafton, New Hampshire, USA ",NR
"Northumberland, Grafton, New Hampshire, USA ",NR
"Orange, Grafton, New Hampshire, USA ",21
"Orford, Grafton, New Hampshire, USA ",92
"Percy, Grafton, New Hampshire, USA ",NR
"Piermont, Grafton, New Hampshire, USA ",73
"Plymouth, Grafton, New Hampshire, USA ",131
"Rumney, Grafton, New Hampshire, USA ",71
"Senters Location, Grafton, New Hampshire, USA ",NR
"Shelburne, Grafton, New Hampshire, USA ",NR
"Starks Location, Grafton, New Hampshire, USA ",NR
"Sterlings Location, Grafton, New Hampshire, USA ",NR
"Stratford, Grafton, New Hampshire, USA ",NR
"Thornton, Grafton, New Hampshire, USA ",70
"Warren, Grafton, New Hampshire, USA ",35
"Wentworth, Grafton, New Hampshire, USA ",42
"Amherst, Hillsborough, New Hampshire, USA ",384
"Andover, Hillsborough, New Hampshire, USA ",NR
"Antrim, Hillsborough, New Hampshire, USA ",97
"Bedford, Hillsborough, New Hampshire, USA ",141
"Boscowen, Hillsborough, New Hampshire, USA ",NR
"Bradford, Hillsborough, New Hampshire, USA ",NR
"Cornish, Hillsborough, New Hampshire, USA ",NR
"Dearing, Hillsborough, New Hampshire, USA ",NR
"Derryfield, Hillsborough, New Hampshire, USA ",NR
"Dunbarton, Hillsborough, New Hampshire, USA ",NR
"Dunstable, Hillsborough, New Hampshire, USA ",NR
"Duxbury Mile, Hillsborough, New Hampshire, USA ",NR
"Fishersfield, Hillsborough, New Hampshire, USA ",419502
"Francetown, Hillsborough, New Hampshire, USA ",NR
"Goffstown, Hillsborough, New Hampshire, USA ",201
"Hancock, Hillsborough, New Hampshire, USA ",117
"Heniker, Hillsborough, New Hampshire, USA ",NR
"Hillsborough, Hillsborough, New Hampshire, USA ",NR
"Hollis, Hillsborough, New Hampshire, USA ",242
"Hopkinton, Hillsborough, New Hampshire, USA ",NR
"Jaffrey, Hillsborough, New Hampshire, USA ",NR
"Kersarge Gore, Hillsborough, New Hampshire, USA ",NR
"Litchfield, Hillsborough, New Hampshire, USA ",57
"Lyndeborough, Hillsborough, New Hampshire, USA ",NR
"Lyndeborough Gore, Hillsborough, New Hampshire, USA ",NR
"Mason, Hillsborough, New Hampshire, USA ",177
"Merrimac, Hillsborough, New Hampshire, USA ",NR
"New Boston, Hillsborough, New Hampshire, USA ",177
"New Ipswich, Hillsborough, New Hampshire, USA ",176
"New London, Hillsborough, New Hampshire, USA ",NR
"Nottingham West, Hillsborough, New Hampshire, USA ",NR
"Packersfield, Hillsborough, New Hampshire, USA ",NR
"Peterborough, Hillsborough, New Hampshire, USA ",136
"Raby, Hillsborough, New Hampshire, USA ",NR
"Salisbury, Hillsborough, New Hampshire, USA ",NR
"Sharon, Hillsborough, New Hampshire, USA ",45
"Society Land, Hillsborough, New Hampshire, USA ",NR
"Sutton, Hillsborough, New Hampshire, USA ",NR
"Temple, Hillsborough, New Hampshire, USA ",154
"Warner, Hillsborough, New Hampshire, USA ",NR
"Weare, Hillsborough, New Hampshire, USA ",286
"Wilton, Hillsborough, New Hampshire, USA ",159
"Atkinson, Rockingham, New Hampshire, USA ",79
"Bow, Rockingham, New Hampshire, USA ",NR
"Brintwood, Rockingham, New Hampshire, USA ",NR
"Candia, Rockingham, New Hampshire, USA ",167
"Canterbury, Rockingham, New Hampshire, USA ",NR
"Chester, Rockingham, New Hampshire, USA ",343
"Chichester, Rockingham, New Hampshire, USA ",NR
"Concord, Rockingham, New Hampshire, USA ",NR
"Deerfield, Rockingham, New Hampshire, USA ",NR
"East Kingstown, Rockingham, New Hampshire, USA ",NR
"Epping, Rockingham, New Hampshire, USA ",223
"Epsom, Rockingham, New Hampshire, USA ",NR
"Exeter, Rockingham, New Hampshire, USA ",287
"Fitzwilliam, Rockingham, New Hampshire, USA ",NR
"Gosport, Rockingham, New Hampshire, USA ",NR
"Greenland, Rockingham, New Hampshire, USA ",105
"Hampstead, Rockingham, New Hampshire, USA ",120
"Hampton, Rockingham, New Hampshire, USA ",154
"Hampton Falls, Rockingham, New Hampshire, USA ",91
"Hawke, Rockingham, New Hampshire, USA ",NR
"Kensington, Rockingham, New Hampshire, USA ",146
"Kingston, Rockingham, New Hampshire, USA ",167
"Londonderry, Rockingham, New Hampshire, USA ",422
"Loudon, Rockingham, New Hampshire, USA ",NR
"Newcastle, Rockingham, New Hampshire, USA ",NR
"Newington, Rockingham, New Hampshire, USA ",89
"Newmarket, Rockingham, New Hampshire, USA ",194
"Newtown, Rockingham, New Hampshire, USA ",NR
"Northampton, Rockingham, New Hampshire, USA ",NR
"Northfield, Rockingham, New Hampshire, USA ",NR
"Northwood, Rockingham, New Hampshire, USA ",124
"Nottingham, Rockingham, New Hampshire, USA ",178
"Pelham, Rockingham, New Hampshire, USA ",NR
"Pembrook, Rockingham, New Hampshire, USA ",NR
"Pittsfield, Rockingham, New Hampshire, USA ",NR
"Plaistow, Rockingham, New Hampshire, USA ",94
"Poplin, Rockingham, New Hampshire, USA ",NR
"Portsmouth, Rockingham, New Hampshire, USA ",893
"Raymond, Rockingham, New Hampshire, USA ",128
"Rye, Rockingham, New Hampshire, USA ",NR
"Salem, Rockingham, New Hampshire, USA ",207
"Sandown, Rockingham, New Hampshire, USA ",105
"Seabrook, Rockingham, New Hampshire, USA ",132
"South Hampton, Rockingham, New Hampshire, USA ",73
"Stratham, Rockingham, New Hampshire, USA ",143
"Windham, Rockingham, New Hampshire, USA ",102
"Barnstead, Strafford, New Hampshire, USA ",NR
"Barrington, Strafford, New Hampshire, USA ",420
"Conway, Strafford, New Hampshire, USA ",419502
"Dover, Strafford, New Hampshire, USA ",318
"Durham, Strafford, New Hampshire, USA ",230
"Eaton, Strafford, New Hampshire, USA ",ER
"Effingham, Strafford, New Hampshire, USA ",NR
"Gilmantown, Strafford, New Hampshire, USA ",NR
"Lee, Strafford, New Hampshire, USA ",NR
"Madbury, Strafford, New Hampshire, USA ",98
"Merideth, Strafford, New Hampshire, USA ",NR
"Middleton, Strafford, New Hampshire, USA ",107
"Moultonborough, Strafford, New Hampshire, USA ",NR
"New Durham, Strafford, New Hampshire, USA ",179
"New Durham Gore, Strafford, New Hampshire, USA ",NR
"New Hampton, Strafford, New Hampshire, USA ",NR
"Ossipee, Strafford, New Hampshire, USA ",NR
"Rochester, Strafford, New Hampshire, USA ",506
"Sanborntown, Strafford, New Hampshire, USA ",NR
"Sandwich, Strafford, New Hampshire, USA ",NR
"Somersworth, Strafford, New Hampshire, USA ",175
"Tamworth, Strafford, New Hampshire, USA ",NR
"Tuftonborough, Strafford, New Hampshire, USA ",NR
"Wakefield, Strafford, New Hampshire, USA ",NR
"Wolfborough, Strafford, New Hampshire, USA ",NR
"Albany Ward 1, Albany, New York, USA ",NR
"Albany Ward 2, Albany, New York, USA ",NR
"Albany Ward 3, Albany, New York, USA ",NR
"Balls Town, Albany, New York, USA ",NR
"Cambridge, Albany, New York, USA ",NR
"Catskill, Albany, New York, USA ",NR
"Coxsackie, Albany, New York, USA ",NR
"Duanesburgh, Albany, New York, USA ",NR
"Easton, Albany, New York, USA ",NR
"Freehold, Albany, New York, USA ",NR
"Germantown, Albany, New York, USA ",NR
"Half Moon, Albany, New York, USA ",NR
"Hoosick, Albany, New York, USA ",NR
"Pitts Town, Albany, New York, USA ",NR
"Rensselaerville, Albany, New York, USA ",499
"Rensselaerwick, Albany, New York, USA ",NR
"Saratoga, Albany, New York, USA ",NR
"Schachticoke, Albany, New York, USA ",NR
"Schenectady, Albany, New York, USA ",ER
"Schoharie, Albany, New York, USA ",NR
"Stephen Town, Albany, New York, USA ",NR
"Stillwater, Albany, New York, USA ",NR
"Watervliet, Albany, New York, USA ",1097
"Champlain, Clinton, New York, USA ",128
"Crown Point, Clinton, New York, USA ",NR
"Plattsburgh, Clinton, New York, USA ",86
"Wellsburgh, Clinton, New York, USA ",NR
"Canaan, Columbia, New York, USA ",1020
"Claverack, Columbia, New York, USA ",471
"Clermont, Columbia, New York, USA ",130
"Germantown, Columbia, New York, USA ",81
"Hillsdale, Columbia, New York, USA ",755
"Hudson, Columbia, New York, USA ",382
"Kinderhook, Columbia, New York, USA ",697
"Livingston, Columbia, New York, USA ",744
"Amenia, Dutchess, New York, USA ",441
"Beekman, Dutchess, New York, USA ",510
"Clinton, Dutchess, New York, USA ",697
"Fishkill, Dutchess, New York, USA ",888
"Frederickstown, Dutchess, New York, USA ",NR
"Northeast, Dutchess, New York, USA ",NR
"Pawling, Dutchess, New York, USA ",677
"Phillipstown, Dutchess, New York, USA ",NR
"Poughkeepsie, Dutchess, New York, USA ",371
"Rhinebeck, Dutchess, New York, USA ",514
"Southeast, Dutchess, New York, USA ",NR
"Washington, Dutchess, New York, USA ",743
"Brooklyn, Kings, New York, USA ",NR
"Bushwick, Kings, New York, USA ",NR
"Flatbush, Kings, New York, USA ",NR
"Flatlands, Kings, New York, USA ",NR
"Gravesend, Kings, New York, USA ",NR
"New Utrick, Kings, New York, USA ",NR
"Canajoxharrie, Montgomery, New York, USA ",NR
"Caughnawaga, Montgomery, New York, USA ",NR
"Chemung, Montgomery, New York, USA ",NR
"Chenango, Montgomery, New York, USA ",NR
"German Flatts, Montgomery, New York, USA ",NR
"Harpersfield, Montgomery, New York, USA ",NR
"Herkimer, Montgomery, New York, USA ",NR
"Mohawk, Montgomery, New York, USA ",NR
"Otsego, Montgomery, New York, USA ",NR
"Palatine, Montgomery, New York, USA ",474
"Whites, Montgomery, New York, USA ",NR
"New York City, New York, New York, USA ",NR
"New York City Dock Ward, New York, New York, USA ",NR
"New York City East Ward, New York, New York, USA ",NR
"New York City Montgomery Ward, New York, New York, USA ",NR
"New York City North Ward, New York, New York, USA ",NR
"New York City Out Ward, New York, New York, USA ",NR
"New York City South Ward, New York, New York, USA ",NR
"New York City West Ward, New York, New York, USA ",NR
"New York Harlem Division, New York, New York, USA ",NR
"Canandaigua, Ontario, New York, USA ",88
"Erwin District, Ontario, New York, USA ",NR
"Genesee District, Ontario, New York, USA ",NR
"Jerusalem District, Ontario, New York, USA ",NR
"Goshen, Orange, New York, USA ",343
"Haverstraw, Orange, New York, USA ",NR
"Minisink, Orange, New York, USA ",370
"New Cornwall, Orange, New York, USA ",NR
"Orange, Orange, New York, USA ",NR
"Warwick, Orange, New York, USA ",571
"Flushing, Queens, New York, USA ",NR
"Jamaica, Queens, New York, USA ",NR
"Newtown, Queens, New York, USA ",NR
"North Hempstead, Queens, New York, USA ",NR
"Oyster Bay, Queens, New York, USA ",NR
"South Hempstead, Queens, New York, USA ",NR
"Castleton, Richmond, New York, USA ",NR
"Northfield, Richmond, New York, USA ",NR
"Southfield, Richmond, New York, USA ",ER
"Westfield, Richmond, New York, USA ",NR
"Brook Haven, Suffolk, New York, USA ",NR
"East Hampton, Suffolk, New York, USA ",249
"Huntington, Suffolk, New York, USA ",582
"Islip, Suffolk, New York, USA ",106
"Shelter Island, Suffolk, New York, USA ",35
"Smithtown, Suffolk, New York, USA ",157
"South Hampton, Suffolk, New York, USA ",NR
"Southold, Suffolk, New York, USA ",593
"Hurley, Ulster, New York, USA ",ER
"Kingston, Ulster, New York, USA ",536
"Mamakating, Ulster, New York, USA ",NR
"Marbletown, Ulster, New York, USA ",304
"Middletown, Ulster, New York, USA ",NR
"Montgomery, Ulster, New York, USA ",NR
"New Marlborough, Ulster, New York, USA ",NR
"New Paltz, Ulster, New York, USA ",378
"New Windsor, Ulster, New York, USA ",NR
"Newburgh, Ulster, New York, USA ",NR
"Rochester, Ulster, New York, USA ",223
"Shawangunk, Ulster, New York, USA ",ER
"Wallkill, Ulster, New York, USA ",392
"Woodstock, Ulster, New York, USA ",169
"Argyle, Washington, New York, USA ",400
"Granville, Washington, New York, USA ",392
"Hampton, Washington, New York, USA ",75
"Hebron, Washington, New York, USA ",305
"Kingsbury, Washington, New York, USA ",179
"Queensbury, Washington, New York, USA ",NR
"Salem, Washington, New York, USA ",395
"Westfield, Washington, New York, USA ",NR
"Whitehall, Washington, New York, USA ",152
"Bedford, Westchester, New York, USA ",NR
"Cortlandt, Westchester, New York, USA ",334
"Eastchester, Westchester, New York, USA ",102
"Greenburgh, Westchester, New York, USA ",213
"Harrison, Westchester, New York, USA ",152
"Mamaroneck, Westchester, New York, USA ",ER
"Morrisania, Westchester, New York, USA ",NR
"Mount Pleasant, Westchester, New York, USA ",303
"New Rochelle, Westchester, New York, USA ",109
"North Castle, Westchester, New York, USA ",400
"North Salem, Westchester, New York, USA ",181
"Pelham, Westchester, New York, USA ",31
"Poundridge, Westchester, New York, USA ",NR
"Rye, Westchester, New York, USA ",162
"Salem, Westchester, New York, USA ",NR
"Scarsdale, Westchester, New York, USA ",33
"Stephen, Westchester, New York, USA ",ER
"Westchester, Westchester, New York, USA ",NR
"White Plains, Westchester, New York, USA ",75
"Yonkers, Westchester, New York, USA ",152
"York, Westchester, New York, USA ",NR
"Edenton, Chowan, North Carolina, USA ",178
"Fayetteville, Cumberland, North Carolina, USA ",276
"Edgecombe, Halifax, North Carolina, USA ",NR
"Edgecombe, Martin, North Carolina, USA ",NR
", Moore, North Carolina, USA ",NR
"New Bern, Newbern, North Carolina, USA ",NR
"Depriciation Tract, Allegheny, Pennsylvania, USA ",39
"Elizabeth, Allegheny, Pennsylvania, USA ",259
"Pitt, Allegheny, Pennsylvania, USA ",266
"Pittsburgh, Allegheny, Pennsylvania, USA ",77
"Plum, Allegheny, Pennsylvania, USA ",70
"Portion Taken From Washington, Allegheny, Pennsylvania, USA ",1077
"Versailles, Allegheny, Pennsylvania, USA ",67
"Albany, Berks, Pennsylvania, USA ",134
"Alsace, Berks, Pennsylvania, USA ",163
"Amity, Berks, Pennsylvania, USA ",153
"Bern, Berks, Pennsylvania, USA ",379
"Bethel, Berks, Pennsylvania, USA ",175
"Branswick and Manheim, Berks, Pennsylvania, USA ",242
"Brecknock, Berks, Pennsylvania, USA ",65
"Caernarvon, Berks, Pennsylvania, USA ",91
"Colebrookedale, Berks, Pennsylvania, USA ",100
"Cumru, Berks, Pennsylvania, USA ",245
"Douglas, Berks, Pennsylvania, USA ",89
"Earl, Berks, Pennsylvania, USA ",101
"East District, Berks, Pennsylvania, USA ",121
"Exeter, Berks, Pennsylvania, USA ",151
"Greenwich, Berks, Pennsylvania, USA ",133
"Heidelberg, Berks, Pennsylvania, USA ",362
"Hereford, Berks, Pennsylvania, USA ",174
"Long Swamp, Berks, Pennsylvania, USA ",130
"Maiden Creek, Berks, Pennsylvania, USA ",120
"Maxatany, Berks, Pennsylvania, USA ",177
"Oley, Berks, Pennsylvania, USA ",161
"Pine Grove, Berks, Pennsylvania, USA ",145
"Reading, Berks, Pennsylvania, USA ",435
"Richmond, Berks, Pennsylvania, USA ",ER
"Robeson, Berks, Pennsylvania, USA ",200
"Rockland, Berks, Pennsylvania, USA ",143
"Ruscomb, Berks, Pennsylvania, USA ",94
"Tulpehocken, Berks, Pennsylvania, USA ",390
"Union, Berks, Pennsylvania, USA ",NR
"Windsor, Berks, Pennsylvania, USA ",204
"Birmingham, Chester, Pennsylvania, USA ",37
"Brandywine, Chester, Pennsylvania, USA ",127
"Charlestown, Chester, Pennsylvania, USA ",211
"Coventry, Chester, Pennsylvania, USA ",196
"East Bradford, Chester, Pennsylvania, USA ",125
"East Caln, Chester, Pennsylvania, USA ",108
"East Fallowfield, Chester, Pennsylvania, USA ",86
"East Marlborough, Chester, Pennsylvania, USA ",145
"East Nantmill, Chester, Pennsylvania, USA ",319
"East Nottingham, Chester, Pennsylvania, USA ",125
"East Town, Chester, Pennsylvania, USA ",4464
"East Whiteland, Chester, Pennsylvania, USA ",76
"Fallowfield, Chester, Pennsylvania, USA ",211
"Goshen, Chester, Pennsylvania, USA ",207
"Honeybrook, Chester, Pennsylvania, USA ",119
"Kennet, Chester, Pennsylvania, USA ",99
"London Britain, Chester, Pennsylvania, USA ",43
"Londonderry, Chester, Pennsylvania, USA ",96
"Londongrove, Chester, Pennsylvania, USA ",110
"New Garden, Chester, Pennsylvania, USA ",127
"New London, Chester, Pennsylvania, USA ",120
"Newlin, Chester, Pennsylvania, USA ",89
"Oxford, Chester, Pennsylvania, USA ",148
"Pennsbury, Chester, Pennsylvania, USA ",87
"Pikeland, Chester, Pennsylvania, USA ",142
"Sadsbury, Chester, Pennsylvania, USA ",89
"Thornbury, Chester, Pennsylvania, USA ",27
"Tredifferin, Chester, Pennsylvania, USA ",157
"Uwchland, Chester, Pennsylvania, USA ",167
"Vincent, Chester, Pennsylvania, USA ",182
"West Bradford, Chester, Pennsylvania, USA ",118
"West Caln, Chester, Pennsylvania, USA ",134
"West Marlborough, Chester, Pennsylvania, USA ",121
"West Nantmill, Chester, Pennsylvania, USA ",319
"West Nottingham, Chester, Pennsylvania, USA ",69
"West Town, Chester, Pennsylvania, USA ",4464
"West Whiteland, Chester, Pennsylvania, USA ",72
"Willistown, Chester, Pennsylvania, USA ",125
"Hopewell, Newton, Tyborn, and Westpensboro, Cumberland, Pennsylvania, USA ",3020
"Harrisburgh, Dauphin, Pennsylvania, USA ",185
"Lebanon, Dauphin, Pennsylvania, USA ",180
"Ashton, Delaware, Pennsylvania, USA ",75
"Bethel, Delaware, Pennsylvania, USA ",39
"Birmingham, Delaware, Pennsylvania, USA ",64
"Chester, Delaware, Pennsylvania, USA ",NR
"Concord, Delaware, Pennsylvania, USA ",108
"Darby, Delaware, Pennsylvania, USA ",NR
"Edgmont, Delaware, Pennsylvania, USA ",63
"Haverford, Delaware, Pennsylvania, USA ",NR
"Lower Chichester, Delaware, Pennsylvania, USA ",NR
"Lower Providence, Delaware, Pennsylvania, USA ",52
"Marple, Delaware, Pennsylvania, USA ",NR
"Middletown, Delaware, Pennsylvania, USA ",NR
"Newton, Delaware, Pennsylvania, USA ",73
"Radnor, Delaware, Pennsylvania, USA ",NR
"Ridley, Delaware, Pennsylvania, USA ",NR
"Springfield, Delaware, Pennsylvania, USA ",67
"Thornbury, Delaware, Pennsylvania, USA ",63
"Tinicum, Delaware, Pennsylvania, USA ",NR
"Upper Chichester, Delaware, Pennsylvania, USA ",NR
"Upper Darby, Delaware, Pennsylvania, USA ",86
"Upper Providence, Delaware, Pennsylvania, USA ",NR
"Bullskin, Fayette, Pennsylvania, USA ",159
"Franklin, Fayette, Pennsylvania, USA ",18
"Georges, Fayette, Pennsylvania, USA ",262
"German, Fayette, Pennsylvania, USA ",278
"Hopewell, Newton, Tyborn, and Westpensboro, Fayette, Pennsylvania, USA ",NR
"Luzerne, Fayette, Pennsylvania, USA ",152
"Manallen, Fayette, Pennsylvania, USA ",296
"Springhill, Fayette, Pennsylvania, USA ",256
"Tyrone, Fayette, Pennsylvania, USA ",410
"Union, Fayette, Pennsylvania, USA ",291
"Washington, Fayette, Pennsylvania, USA ",206
"Wharton, Fayette, Pennsylvania, USA ",70
"Fannet, Hamilton, Letterkenney, Montgomery, and Peters, Franklin, Pennsylvania, USA ",1161
"Fannet;Peters;Montgomery;Hamistonand;Letterhenney, Franklin, Pennsylvania, USA ",1161
"Bart, Lancaster, Pennsylvania, USA ",137
"Brecknock, Lancaster, Pennsylvania, USA ",120
"Caemarvon, Lancaster, Pennsylvania, USA ",NR
"Caernarvon, Lancaster, Pennsylvania, USA ",131
"Cocalico, Lancaster, Pennsylvania, USA ",539
"Colerain, Lancaster, Pennsylvania, USA ",113
"Conestoga, Lancaster, Pennsylvania, USA ",170
"Donegal, Lancaster, Pennsylvania, USA ",270
"Drumore, Lancaster, Pennsylvania, USA ",157
"Earl, Lancaster, Pennsylvania, USA ",570
"Elizabeth, Lancaster, Pennsylvania, USA ",86
"Heidelberg, Lancaster, Pennsylvania, USA ",12
"Hempfield, Lancaster, Pennsylvania, USA ",272
"Lampeter, Lancaster, Pennsylvania, USA ",238
"Lancaster, Lancaster, Pennsylvania, USA ",734
"Lancaster Borough, Lancaster, Pennsylvania, USA ",680
"Lancaster Township, Lancaster, Pennsylvania, USA ",54
"Leacock, Lancaster, Pennsylvania, USA ",213
"Lttle Britain, Lancaster, Pennsylvania, USA ",196
"Manheim, Lancaster, Pennsylvania, USA ",208
"Manor Township, Lancaster, Pennsylvania, USA ",268
"Martick, Lancaster, Pennsylvania, USA ",ER
"Mountjoy, Lancaster, Pennsylvania, USA ",136
"Rapho, Lancaster, Pennsylvania, USA ",255
"Sadsbury, Lancaster, Pennsylvania, USA ",108
"Salisbury, Lancaster, Pennsylvania, USA ",ER
"Strasburg, Lancaster, Pennsylvania, USA ",264
"Warwick, Lancaster, Pennsylvania, USA ",355
"Abington, Montgomery, Pennsylvania, USA ",NR
"Cheltenham, Montgomery, Pennsylvania, USA ",NR
"Manor of Moreland, Montgomery, Pennsylvania, USA ",224
"Springfield, Montgomery, Pennsylvania, USA ",NR
"Allen, Northampton, Pennsylvania, USA ",241
"Bethlehem, Northampton, Pennsylvania, USA ",160
"Chestnut Hill, Northampton, Pennsylvania, USA ",107
"Cosikton District, Northampton, Pennsylvania, USA ",56
"Delaware, Northampton, Pennsylvania, USA ",77
"Easton, Northampton, Pennsylvania, USA ",134
"Forks, Northampton, Pennsylvania, USA ",116
"Hamilton, Northampton, Pennsylvania, USA ",95
"Heidelberg, Northampton, Pennsylvania, USA ",166
"Lehigh, Northampton, Pennsylvania, USA ",106
"Low Hill, Northampton, Pennsylvania, USA ",75
"Lower Mount Bethel, Northampton, Pennsylvania, USA ",164
"Lower Saucon, Northampton, Pennsylvania, USA ",179
"Lower Smithfield, Northampton, Pennsylvania, USA ",235
"Lynn, Northampton, Pennsylvania, USA ",169
"MacUnge, Northampton, Pennsylvania, USA ",210
"More, Northampton, Pennsylvania, USA ",ER
"Nazareth, Northampton, Pennsylvania, USA ",155
"Northampton, Northampton, Pennsylvania, USA ",NR
"Penn, Northampton, Pennsylvania, USA ",110
"Plainfield, Northampton, Pennsylvania, USA ",146
"Salisbury, Northampton, Pennsylvania, USA ",170
"Towamensink, Northampton, Pennsylvania, USA ",74
"Upper Milford, Northampton, Pennsylvania, USA ",202
"Upper Mount Bethel, Northampton, Pennsylvania, USA ",153
"Upper Saucon, Northampton, Pennsylvania, USA ",145
"Upper Smithfield, Northampton, Pennsylvania, USA ",63
"Wallen Papeck, Northampton, Pennsylvania, USA ",30
"Weisenbergh, Northampton, Pennsylvania, USA ",101
"Whitehall, Northampton, Pennsylvania, USA ",203
"Williams, Northampton, Pennsylvania, USA ",132
"Blockley, Philadelphia, Pennsylvania, USA ",150
"Blockley;Kingsessing, Philadelphia, Pennsylvania, USA ",150
"Bristol, Philadelphia, Pennsylvania, USA ",124
"Bullskin, Philadelphia, Pennsylvania, USA ",15
"Byberry, Philadelphia, Pennsylvania, USA ",95
"Germantown, Philadelphia, Pennsylvania, USA ",555
"Kingsessing Town, Philadelphia, Pennsylvania, USA ",109
"Lower Dublin, Philadelphia, Pennsylvania, USA ",228
"Manor of Moreland, Philadelphia, Pennsylvania, USA ",65
"Mojamensing and Passyunk, Philadelphia, Pennsylvania, USA ",261
"Northern Liberties, Philadelphia, Pennsylvania, USA ",2171
"Oxford, Philadelphia, Pennsylvania, USA ",175
"Philadelphia City, Philadelphia, Pennsylvania, USA ",546
"Roxborough, Philadelphia, Pennsylvania, USA ",135
"Southwark, Philadelphia, Pennsylvania, USA ",1064
"Water Street East Side, Philadelphia, Pennsylvania, USA ",4796
"Armstrong, Westmoreland, Pennsylvania, USA ",ER
"Derry, Westmoreland, Pennsylvania, USA ",288
"Donegal, Westmoreland, Pennsylvania, USA ",142
"Fairfield, Westmoreland, Pennsylvania, USA ",118
"Franklin, Westmoreland, Pennsylvania, USA ",141
"French Creek, Westmoreland, Pennsylvania, USA ",15
"Hempfield, Westmoreland, Pennsylvania, USA ",NR
"Mount Pleasant, Westmoreland, Pennsylvania, USA ",174
"North Huntington, Westmoreland, Pennsylvania, USA ",534
"Rostraver, Westmoreland, Pennsylvania, USA ",191
"Salem, Westmoreland, Pennsylvania, USA ",144
"South Huntington, Westmoreland, Pennsylvania, USA ",534
"Unity, Westmoreland, Pennsylvania, USA ",205
"Versailles, Westmoreland, Pennsylvania, USA ",2
"Washington, Westmoreland, Pennsylvania, USA ",ER
"Wheatfeld, Westmoreland, Pennsylvania, USA ",73
"Chanceford, York, Pennsylvania, USA ",296
"Codorus, York, Pennsylvania, USA ",268
"Dover, York, Pennsylvania, USA ",253
"Fawn, York, Pennsylvania, USA ",75262
"Hellam, York, Pennsylvania, USA ",129
"Hopewell, York, Pennsylvania, USA ",211
"Manallan;Huntington;Gieone;Manhiem, York, Pennsylvania, USA ",NR
"Manchester, York, Pennsylvania, USA ",302
"Mixed Township, York, Pennsylvania, USA ",2567
"Monaghan, York, Pennsylvania, USA ",273
"Newberry, York, Pennsylvania, USA ",404
"Paradise, York, Pennsylvania, USA ",214
"Reading, York, Pennsylvania, USA ",178
"Shrewsbury, York, Pennsylvania, USA ",220
"Warrinton, York, Pennsylvania, USA ",263
"Windsor, York, Pennsylvania, USA ",254
"York, York, Pennsylvania, USA ",641
"York Borough, York, Pennsylvania, USA ",384
"Barrington, Bristol, Rhode Island, USA ",115
"Bristol, Bristol, Rhode Island, USA ",253
"Warren, Bristol, Rhode Island, USA ",200
"Coventry, Kent, Rhode Island, USA ",395
"East Greenwich, Kent, Rhode Island, USA ",296
"Little Compton, Kent, Rhode Island, USA ",NR
"Middletown, Kent, Rhode Island, USA ",NR
"New Shoreham, Kent, Rhode Island, USA ",NR
"Newport, Kent, Rhode Island, USA ",NR
"Warwick, Kent, Rhode Island, USA ",398
"West Greenwich, Kent, Rhode Island, USA ",300
"Jamestown, Newport, Rhode Island, USA ",ER
"Middletown, Newport, Rhode Island, USA ",92
"Newport, Newport, Rhode Island, USA ",1243
"Portsmouth, Newport, Rhode Island, USA ",243
"Tiverton, Newport, Rhode Island, USA ",407
"Cranston, Providence, Rhode Island, USA ",315
"Cumberland, Providence, Rhode Island, USA ",313
"Foster, Providence, Rhode Island, USA ",363
"Glocester, Providence, Rhode Island, USA ",621
"Johnstown, Providence, Rhode Island, USA ",NR
"North Providence, Providence, Rhode Island, USA ",183
"Providence, Providence, Rhode Island, USA ",1131
"Scituate, Providence, Rhode Island, USA ",382
"Smithfield, Providence, Rhode Island, USA ",494
"Charleston, Washington, Rhode Island, USA ",NR
"Exeter, Washington, Rhode Island, USA ",425
"Hopkinton, Washington, Rhode Island, USA ",404
"North Kingston, Washington, Rhode Island, USA ",NR
"Richmond, Washington, Rhode Island, USA ",290
"South Kingston, Washington, Rhode Island, USA ",NR
"Westerly, Washington, Rhode Island, USA ",360
"Christ Church, Charleston, South Carolina, USA ",NR
"St Andrews, Charleston, South Carolina, USA ",193
"St Bartholomes, Charleston, South Carolina, USA ",NR
"St Georges, Charleston, South Carolina, USA ",NR
"St James Goose Creek, Charleston, South Carolina, USA ",NR
"St James Santee, Charleston, South Carolina, USA ",NR
"St Johns, Charleston, South Carolina, USA ",NR
"St Pauls, Charleston, South Carolina, USA ",100
"St Phillips and St Michaels, Charleston, South Carolina, USA ",NR
"St Stephens, Charleston, South Carolina, USA ",NR
"St Thomas, Charleston, South Carolina, USA ",NR
"St Phillips and St Michaels, Cheraws District, South Carolina, USA ",NR
"St Thomas, Cheraws District, South Carolina, USA ",NR
"St Paul, Edgefield, South Carolina, USA ",NR
"All Saints, Georgetown, South Carolina, USA ",NR
"Prince Fredericks, Georgetown, South Carolina, USA ",NR
"Prince Georges, Georgetown, South Carolina, USA ",NR
"Addison, Addison, Vermont, USA ",68
"Bridport, Addison, Vermont, USA ",79
"Bristol, Addison, Vermont, USA ",61
"Cornwall, Addison, Vermont, USA ",149
