source_file,column,original,match,score
Pierce,First,"Christian,",Christian ,94.73684210526316
Pierce,First,Christo,Christ,92.3076923076923
Pierce,First,Christo,Christop,93.33333333333333
Pierce,First,Christo,Christop ,93.33333333333333
Pierce,First,Christop,Christo,93.33333333333333
Pierce,First,Christop,Christop ,100.0
Pierce,First,Christop,Christoph,94.11764705882352
Pierce,First,Christop ,Christo,93.33333333333333
Pierce,First,Christop ,Christop,100.0
Pierce,First,Christop ,Christoph,94.11764705882352
Pierce,First,Christopder,Christopher,90.9090909090909
Pierce,First,Christopder,Christopher ,90.9090909090909
Pierce,First,Christoph,Christop,94.11764705882352
Pierce,First,Christoph,Christop ,94.11764705882352
Pierce,First,Christoph,Christopher,90.0
Pierce,First,Christoph,Christopher ,90.0
Pierce,First,Christopher,Chirstopher,90.9090909090909
Pierce,First,Christopher,Christopder,90.9090909090909
Pierce,First,Christopher,Christopher ,100.0
Pierce,First,Christopher,Christopher H,91.66666666666666
Pierce,First,Christopher ,Chirstopher,90.9090909090909
Pierce,First,Christopher ,Christopder,90.9090909090909
Pierce,First,Christopher ,Christopher,100.0
Pierce,First,Christopher ,Christopher H,91.66666666666666
Pierce,First,Christopher H,Christopher,91.66666666666666
Pierce,First,Christopher H,Christopher ,91.66666666666666
Pierce,First,Claiborn,Claiborne ,94.11764705882352
Pierce,First,Claiborne ,Claiborn,94.11764705882352
Pierce,First,Clark,Clarke,90.9090909090909
Pierce,First,Clarke,Clark,90.9090909090909
Pierce,First,Clement,Clemment,93.33333333333333
Pierce,First,Clemment,Clement,93.33333333333333
Pierce,First,Coenrad,Conrad,92.3076923076923
Pierce,First,Cofort,Comfort,92.3076923076923
Pierce,First,Colden,Colen,90.9090909090909
Pierce,First,Colen,Colden,90.9090909090909
Pierce,First,Colin,Collin,90.9090909090909
Pierce,First,Collin,Colin,90.9090909090909
Pierce,First,Collin,Collins,92.3076923076923
Pierce,First,Collins,Collin,92.3076923076923
Pierce,First,Collothell,Collothill,90.0
Pierce,First,Collothill,Collothell,90.0
Pierce,First,Comfort,Cofort,92.3076923076923
Pierce,First,Conrad,Coenrad,92.3076923076923
Pierce,First,Conrad,Conrade,92.3076923076923
Pierce,First,Conrad,Conradt,92.3076923076923
Pierce,First,Conrade,Conrad,92.3076923076923
Pierce,First,Conradt,Conrad,92.3076923076923
Pierce,First,Conrod,Coonrod,92.3076923076923
Pierce,First,Coonrod,Conrod,92.3076923076923
Pierce,First,Cordeus,Cordus,92.3076923076923
Pierce,First,Cordus,Cordeus,92.3076923076923
Pierce,First,Cornel,Cornell,92.3076923076923
Pierce,First,Cornelius,Cornelius ,100.0
Pierce,First,Cornelius,Cornelius R,90.0
Pierce,First,Cornelius,Cornelius T,90.0
Pierce,First,Cornelius ,Cornelius,100.0
Pierce,First,Cornelius ,Cornelius R,90.0
Pierce,First,Cornelius ,Cornelius T,90.0
Pierce,First,Cornelius R,Cornelius,90.0
Pierce,First,Cornelius R,Cornelius ,90.0
Pierce,First,Cornelius R,Cornelius T,90.9090909090909
Pierce,First,Cornelius T,Cornelius,90.0
Pierce,First,Cornelius T,Cornelius ,90.0
Pierce,First,Cornelius T,Cornelius R,90.9090909090909
Pierce,First,Cornell,Cornel,92.3076923076923
Pierce,First,Cortney,Courtney,93.33333333333333
Pierce,First,Courtney,Cortney,93.33333333333333
Pierce,First,Crispus,Chrispus,93.33333333333333
Pierce,First,Crocker,Croker,92.3076923076923
Pierce,First,Croker,Crocker,92.3076923076923
Pierce,First,Cromwell,Cromwell ,100.0
Pierce,First,Cromwell ,Cromwell,100.0
Pierce,First,Curtis,Curtiss,92.3076923076923
Pierce,First,Curtiss,Curtis,92.3076923076923
Pierce,First,Cyphrian,Cyprian,93.33333333333333
Pierce,First,Cyprian,Cyphrian,93.33333333333333
Pierce,First,Cyproan,Cypron,92.3076923076923
Pierce,First,Cypron,Cyproan,92.3076923076923
Pierce,First,Dan,Dan ,100.0
Pierce,First,Dan ,Dan,100.0
Pierce,First,Daneil,Danel,90.9090909090909
Pierce,First,Danel,Daneil,90.9090909090909
Pierce,First,Danel,Daniel,90.9090909090909
Pierce,First,Danel,Daniel ,90.9090909090909
Pierce,First,Danel,Darnel,90.9090909090909
Pierce,First,Daniel,Danel,90.9090909090909
Pierce,First,Daniel,Daniel ,100.0
Pierce,First,Daniel ,Danel,90.9090909090909
Pierce,First,Daniel ,Daniel,100.0
Pierce,First,Daniel Jr.,Daniel Sr.,90.0
Pierce,First,Daniel Sr.,Daniel Jr.,90.0
Pierce,First,Darius,Davrius,92.3076923076923
Pierce,First,Darnel,Danel,90.9090909090909
Pierce,First,David,David ,100.0
Pierce,First,David ,David,100.0
Pierce,First,Davies,Davis,90.9090909090909
Pierce,First,Davis,Davies,90.9090909090909
Pierce,First,Davrius,Darius,92.3076923076923
Pierce,First,Dearick,Derick,92.3076923076923
Pierce,First,Dederick,Deiderick,94.11764705882352
Pierce,First,Deiderick,Dederick,94.11764705882352
Pierce,First,Deiderick,Deidrick,94.11764705882352
Pierce,First,Deiderick,Diderick,94.11764705882352
Pierce,First,Deidrick,Deiderick,94.11764705882352
Pierce,First,Deitrick,Detrick,93.33333333333333
Pierce,First,Deliverance,Deliverence,90.9090909090909
Pierce,First,Deliverence,Deliverance,90.9090909090909
Pierce,First,Denies,Denis,90.9090909090909
Pierce,First,Denis,Denies,90.9090909090909
Pierce,First,Denis,Dennis,90.9090909090909
Pierce,First,Denis,Dennis ,90.9090909090909
Pierce,First,Dennis,Denis,90.9090909090909
Pierce,First,Dennis,Dennis ,100.0
Pierce,First,Dennis ,Denis,90.9090909090909
Pierce,First,Dennis ,Dennis,100.0
Pierce,First,Derck,Derick,90.9090909090909
Pierce,First,Derick,Dearick,92.3076923076923
Pierce,First,Derick,Derck,90.9090909090909
Pierce,First,Derick,Derrick,92.3076923076923
Pierce,First,Derick,Detrick,92.3076923076923
Pierce,First,Derrick,Derick,92.3076923076923
Pierce,First,Detrick,Deitrick,93.33333333333333
Pierce,First,Detrick,Derick,92.3076923076923
Pierce,First,Diderick,Deiderick,94.11764705882352
Pierce,First,Domini,Dominic,92.3076923076923
Pierce,First,Domini,Dominie,92.3076923076923
Pierce,First,Dominic,Domini,92.3076923076923
Pierce,First,Dominic,Dominica,93.33333333333333
Pierce,First,Dominic,Dominick,93.33333333333333
Pierce,First,Dominica,Dominic,93.33333333333333
Pierce,First,Dominick,Dominic,93.33333333333333
Pierce,First,Dominie,Domini,92.3076923076923
Pierce,First,Doras,Dorias,90.9090909090909
Pierce,First,Dorias,Doras,90.9090909090909
Pierce,First,Dougal,Dougall,92.3076923076923
Pierce,First,Dougall,Dougal,92.3076923076923
Pierce,First,Douglas,Douglass,93.33333333333333
Pierce,First,Douglass,Douglas,93.33333333333333
Pierce,First,Dudley,Dudley ,100.0
Pierce,First,Dudley,Dudly,90.9090909090909
Pierce,First,Dudley ,Dudley,100.0
Pierce,First,Dudley ,Dudly,90.9090909090909
Pierce,First,Dudly,Dudley,90.9090909090909
Pierce,First,Dudly,Dudley ,90.9090909090909
Pierce,First,Easman,Eastman,92.3076923076923
Pierce,First,Eastman,Easman,92.3076923076923
Pierce,First,Eastus,Erastus,92.3076923076923
Pierce,First,Eazekiah,Ezekiah,93.33333333333333
Pierce,First,Eben,Eben ,100.0
Pierce,First,Eben ,Eben,100.0
Pierce,First,Ebener,Ebenzer,92.3076923076923
Pierce,First,Ebenez,Ebenez ,100.0
Pierce,First,Ebenez ,Ebenez,100.0
Pierce,First,Ebenezer,Ebenzer,93.33333333333333
Pierce,First,Ebenezer,Eebenezer,94.11764705882352
Pierce,First,Ebenezer K,Ebenezer M,90.0
Pierce,First,Ebenezer M,Ebenezer K,90.0
Pierce,First,Ebenzer,Ebener,92.3076923076923
Pierce,First,Ebenzer,Ebenezer,93.33333333333333
Pierce,First,Eber,Eber ,100.0
Pierce,First,Eber ,Eber,100.0
Pierce,First,Edgerton,Egerton,93.33333333333333
Pierce,First,Edmund,Edmunds,92.3076923076923
Pierce,First,Edmunds,Edmund,92.3076923076923
Pierce,First,Edward,Edward ,100.0
Pierce,First,Edward ,Edward,100.0
Pierce,First,Eebenezer,Ebenezer,94.11764705882352
Pierce,First,Egerton,Edgerton,93.33333333333333
Pierce,First,Eleazer,Eleazer ,100.0
Pierce,First,Eleazer,Elezer,92.3076923076923
Pierce,First,Eleazer ,Eleazer,100.0
Pierce,First,Eleazer ,Elezer,92.3076923076923
