,Index,Original Name,Search Name,Name #,Match Status,Match Reason,Location,Family Size,Slavecount,url,town,county,state,geo_level
51,49,['Thomas C Green'],"[""['Thomas C Green']""]",1,No Match,No Match Found,,,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Thomas+C_Green&name_x=ps_ps&residence=_new+london-new+london-connecticut-usa_3381&residence_x=1-0_1-1,New London,New London County,CT,town
52,50,['John Templeman'],['John Templeman'],1,Match,Full Match,"Boston, Suffolk, Massachusetts",8,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=John_Templeman&name_x=1_1&residence=_boston-suffolk-massachusetts-usa_4668&residence_x=1-0_1-0,Boston,Suffolk County,MA,town
53,51,['Ezekiel Williams'],['Ezekiel William'],1,Match,Full Match,"Wethersfield, Hartford, Connecticut",9,2,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Ezekiel_Williams&name_x=1_1&residence=_hartford-hartford-connecticut-usa_999&residence_x=1-0_1-1,Hartford,Hartford County,CT,town
54,52,['Joshua Lathrop'],['Joshua Lothrop'],1,Match,Full Match,"New London, Connecticut",9,2,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Joshua_Lathrop&name_x=ps_ps&residence=_norwich-new+london-connecticut-usa_3387&residence_x=1-0_1-1,Norwich,New London County,CT,town
55,53,"['Daniel Lathrop Coit', 'Daniel L Coit']",['Daniel L Coit'],1,Match,Only Location Found, Connecticut,,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Daniel+L_Coit&name_x=s_s&residence=_norwich-new+london-connecticut-usa_3387&residence_x=1-0_1-1,Norwich,New London County,CT,town
56,53,"['Daniel Lathrop Coit', 'Daniel L Coit']",['Daniel Lathrop Coit'],1,Match,Only Location Found, Connecticut,,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Daniel+Lathrop_Coit&name_x=s_s&residence=_norwich-new+london-connecticut-usa_3387&residence_x=1-0_1-1,Norwich,New London County,CT,town
57,54,['Jonathan Dwight'],"[""['Jonathan Dwight']""]",1,No Match,No Match Found,,,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Jonathan_Dwight&name_x=ps_ps&residence=_springfield-hampshire-west+virginia-usa_24598&residence_x=1-0_1-1,Springfield,Hampshire County,MA,town
58,55,['John Hall'],['John Hall'],1,Match,Full Match,"Hartford, Hartford, Connecticut", ,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=John_Hall&name_x=1_1&residence=_hartford-hartford-connecticut-usa_999&residence_x=1-0_1-0,Hartford,Hartford County,CT,town
59,57,['John Austin'],['John Austin'],1,Match,Full Match,"New Haven, New Haven, Connecticut",8,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=John_Austin&name_x=1_1&residence=_new haven-new+haven-connecticut-usa_3342&residence_x=1-0_1-0,New Haven,New Haven County,CT,town
60,58,['Solomon Wells'],['Solomon Wells'],1,Match,Full Match,"Wethersfield, Hartford, Connecticut",8,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Solomon_Wells&name_x=1_1&residence=_wethersfield-hartford-connecticut-usa_2999&residence_x=1-0_1-0,Wethersfield,Hartford County,CT,town
61,59,['Enoch Parsons'],"[""['Enoch Parsons']""]",1,No Match,No Match Found,,,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Enoch_Parsons&name_x=ps_ps&residence=_middletown-middlesex-connecticut-usa_3320&residence_x=1-0_1-1,Middletown,Middlesex County,CT,town
62,60,['Wheeler Coit'],['Whealer Coit'],1,Match,Full Match,"New London, Connecticut",13,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Wheeler_Coit&name_x=ps_ps&residence=_preston+city-new+london-connecticut-usa_3394&residence_x=1-0_1-1,Preston,New London County,CT,town
63,61,['Nathan Strong'],['Reverend Revd Nathan Strong'],1,Match,Full Match,"Hartford, Hartford, Connecticut",8,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Nathan_Strong&name_x=1_1&residence=_hartford-hartford-connecticut-usa_999&residence_x=1-0_1-0,Hartford,Hartford County,CT,town
