Last Name,First Name,Position,State,County / Town,Vote
Vrooman,Peter,,NY,Albany,did not vote
Yates,Robert,,NY,Albany,no
Adgate,Matthew,,NY,Columbia,no
Bay,John,,NY,Columbia,no
Van Ness,Peter,,NY,Columbia,no
Akin,Jonathan,,NY,Dutchess,no
DeWitt,John,,NY,Dutchess,yes
Livingston,Gilbert,,NY,Dutchess,yes
Platt,Zephaniah,,NY,Dutchess,yes
Smith,Melancton,,NY,Dutchess,yes
Swartwout,Jacobus,,NY,Dutchess,no
Thompson,Ezra,,NY,Dutchess,did not vote
Lefferts,Peter,,NY,Kings,yes
Vandevoort,Peter,,NY,Kings,yes
Frey,John,,NY,Montgomery,no
Harper,William,,NY,Montgomery,no
Stauring,Henry,,NY,Montgomery,no
Veeder,Volkert,,NY,Montgomery,no
Winn,John,,NY,Montgomery,no
Yates,Christopher P. ,,NY,Montgomery,did not vote
Duane,James,,NY,New York,yes
Hamilton,Alexander,,NY,New York,yes
Harison,Richard,,NY,New York,yes
Hobart,John Sloss,,NY,New York,yes
Jay,John,,NY,New York,yes
Livingston,Robert R.,,NY,New York,yes
Low,Nicholas,,NY,New York,yes
Morris,Richard,,NY,New York,did not vote
Roosevelt,Isaac,,NY,New York,yes
Haring,John,,NY,Orange,no
Wisner,Henry,,NY,Orange,no
Wood,John,,NY,Orange,no
Woodhull,Jesse,,NY,Orange,yes
Carman,Stephen,,NY,Queens,yes
Jones,Samuel,,NY,Queens,yes
Lawrence,Nathaniel,,NY,Queens,yes
Schenck,John,,NY,Queens,yes
Bancker,Abraham,,NY,Richmond,yes
Ryerss,Gozen,,NY,Richmond,yes
Havens,Jonathan Nicoll,,NY,Suffolk,yes
Hedges,David,,NY,Suffolk,did not vote
Scudder,Henry,,NY,Suffolk,yes
Smith,John,,NY,Suffolk,yes
Tredwell,Thomas,,NY,Suffolk,no
Cantine,John,,NY,Ulster,no
Clark,Ebenezer,,NY,Ulster,no
Clinton,George,,NY,Ulster,did not vote
Clinton,James,,NY,Ulster,no
Schoonmaker,Cornelius C.,,NY,Ulster,no
Wynkoop,Dirck,,NY,Ulster,no
Baker,Albert,,NY,Washington and Clinton,no
Hopkins,David,,NY,Washington and Clinton,no
Parker,Ichabod,,NY,Washington and Clinton,no
Williams,John,,NY,Washington and Clinton,no
Crane,Thaddeus,,NY,Westchester,yes
Hatfield,Richard,,NY,Westchester,yes
Livingston,Philip,,NY,Westchester,yes
Morris,Lewis,,NY,Westchester,yes
Sarls,Lott W.,,NY,Westchester,yes
Van Cortlandt,Philip,,NY,Westchester,yes
Muhlenberg,Frederick A.,President,PA,,yes
Latimer,George,,PA,,yes
Rush,Benjamin,,PA,,yes
Baker,Hilary,,PA,,yes
Wilson,James,,PA,,yes
M'Kean,Thomas,,PA,,yes
Macpherson,To.,,PA,,yes
Hunn,John,,PA,,yes
Gray,George,,PA,,yes
Ashmead,Samuel,,PA,,yes
Edwards,Enoch,,PA,,yes
Wynkoop,Henry,,PA,,yes
Barclay,John,,PA,,yes
Yardley,Thomas,,PA,,yes
Stout,Abraham,,PA,,yes
Bull,Thomas,,PA,,yes
Wayne,Anthony,,PA,,yes
Gibbons,William,,PA,,yes
Downing,Richard,,PA,,yes
Cheney,Thomas,,PA,,yes
Hannum,John,,PA,,yes
Chambers,Stephen,,PA,,yes
Coleman,Robert,,PA,,yes
Graff,Sebastian,,PA,,yes
Hubley,John,,PA,,yes
Yeates,Jasper,,PA,,yes
Slagle,Henry,,PA,,yes
Campbell,Thomas,,PA,,yes
Hartley,Thomas,,PA,,yes
Grier,David,,PA,,yes
Black,John,,PA,,yes
Pedan,Benjamin,,PA,,yes
Arndt,John,,PA,,yes
Balliott,Stephen,,PA,,yes
